threshold,falsePositiveRate,truePositiveRate
101,0,0
100,0,0.5714
99,0,0.6429
98,0,0.6429
97,0,0.6429
96,0,0.6429
95,0,0.6429
94,0.0476,0.7143
93,0.2857,0.8571
92,0.2857,0.8571
91,0.2857,0.8571
90,0.2857,0.8571
89,0.2857,0.8571
88,0.2857,0.8571
87,0.2857,0.8571
86,0.2857,0.8571
85,0.2857,0.8571
84,0.2857,0.8571
83,0.2857,0.8571
82,0.2857,0.8571
81,0.2857,0.8571
80,0.2857,0.8571
79,0.2857,0.8571
78,0.2857,0.8571
77,0.2857,0.8571
76,0.2857,0.8571
75,0.2857,0.8571
74,0.2857,0.8571
73,0.2857,0.8571
72,0.2857,0.8571
71,0.2857,0.8571
70,0.2857,0.8571
69,0.2857,0.8571
68,0.2857,0.8571
67,0.2857,0.8571
66,0.2857,0.8571
65,0.381,0.8571
64,0.381,0.8571
63,0.381,0.8571
62,0.381,0.8571
61,0.381,0.8571
60,0.381,0.8571
59,0.381,0.8571
58,0.381,0.8571
57,0.381,0.8571
56,0.381,0.8571
55,0.381,0.8571
54,0.381,0.8571
53,0.381,0.8571
52,0.381,0.8571
51,0.381,0.8571
50,0.381,0.8571
49,0.381,0.8571
48,0.381,0.8571
47,0.381,0.8571
46,0.381,0.8571
45,0.381,0.8571
44,0.381,0.8571
43,0.381,0.8571
42,0.381,0.8571
41,0.381,0.8571
40,0.381,0.8571
39,0.381,0.8571
38,0.381,0.8571
37,0.381,0.8571
36,0.381,0.8571
35,0.381,0.8571
34,0.381,0.8571
33,0.381,0.8571
32,0.381,0.8571
31,0.381,0.8571
30,0.381,0.8571
29,0.381,0.8571
28,0.381,0.8571
27,0.381,0.8571
26,0.381,0.8571
25,0.381,0.8571
24,0.381,0.8571
23,0.381,0.8571
22,0.381,0.8571
21,0.381,0.8571
20,0.381,0.8571
19,0.381,0.8571
18,0.381,0.8571
17,0.381,0.8571
16,0.381,0.8571
15,0.381,0.8571
14,0.381,0.8571
13,0.381,0.8571
12,0.381,0.8571
11,0.381,0.8571
10,0.381,0.8571
9,0.381,0.8571
8,0.381,0.8571
7,0.381,0.8571
6,0.381,0.8571
5,0.381,0.8571
4,0.381,0.8571
3,1,1
2,1,1
1,1,1
0,1,1
