threshold,accuracy,precision,recall,specificity,falsePositiveRate,f1Score,truePositive,trueNegative,falsePositive,falseNegative
100,0.7615,1,0.5867,1,0,0.7395,44,55,0,31
95,0.7923,1,0.64,1,0,0.7805,48,55,0,27
90,0.8077,0.8571,0.8,0.8182,0.1818,0.8276,60,45,10,15
85,0.8077,0.8571,0.8,0.8182,0.1818,0.8276,60,45,10,15
80,0.8077,0.8571,0.8,0.8182,0.1818,0.8276,60,45,10,15
75,0.8077,0.8571,0.8,0.8182,0.1818,0.8276,60,45,10,15
70,0.8077,0.8571,0.8,0.8182,0.1818,0.8276,60,45,10,15
65,0.7769,0.8108,0.8,0.7455,0.2545,0.8054,60,41,14,15
60,0.7769,0.8108,0.8,0.7455,0.2545,0.8054,60,41,14,15
55,0.7769,0.8108,0.8,0.7455,0.2545,0.8054,60,41,14,15
50,0.7769,0.8108,0.8,0.7455,0.2545,0.8054,60,41,14,15
45,0.7769,0.8108,0.8,0.7455,0.2545,0.8054,60,41,14,15
40,0.7769,0.8108,0.8,0.7455,0.2545,0.8054,60,41,14,15
35,0.7769,0.8108,0.8,0.7455,0.2545,0.8054,60,41,14,15
30,0.7769,0.8108,0.8,0.7455,0.2545,0.8054,60,41,14,15
25,0.7769,0.8108,0.8,0.7455,0.2545,0.8054,60,41,14,15
20,0.7769,0.8108,0.8,0.7455,0.2545,0.8054,60,41,14,15
15,0.7769,0.8108,0.8,0.7455,0.2545,0.8054,60,41,14,15
10,0.7769,0.8108,0.8,0.7455,0.2545,0.8054,60,41,14,15
5,0.7769,0.8108,0.8,0.7455,0.2545,0.8054,60,41,14,15
0,0.5769,0.5769,1,0,1,0.7317,75,0,55,0
