threshold,accuracy,precision,recall,specificity,falsePositiveRate,f1Score,truePositive,trueNegative,falsePositive,falseNegative
100,0.8286,1,0.5714,1,0,0.7273,8,21,0,6
95,0.8571,1,0.6429,1,0,0.7826,9,21,0,5
90,0.7714,0.6667,0.8571,0.7143,0.2857,0.75,12,15,6,2
85,0.7714,0.6667,0.8571,0.7143,0.2857,0.75,12,15,6,2
80,0.7714,0.6667,0.8571,0.7143,0.2857,0.75,12,15,6,2
75,0.7714,0.6667,0.8571,0.7143,0.2857,0.75,12,15,6,2
70,0.7714,0.6667,0.8571,0.7143,0.2857,0.75,12,15,6,2
65,0.7143,0.6,0.8571,0.619,0.381,0.7059,12,13,8,2
60,0.7143,0.6,0.8571,0.619,0.381,0.7059,12,13,8,2
55,0.7143,0.6,0.8571,0.619,0.381,0.7059,12,13,8,2
50,0.7143,0.6,0.8571,0.619,0.381,0.7059,12,13,8,2
45,0.7143,0.6,0.8571,0.619,0.381,0.7059,12,13,8,2
40,0.7143,0.6,0.8571,0.619,0.381,0.7059,12,13,8,2
35,0.7143,0.6,0.8571,0.619,0.381,0.7059,12,13,8,2
30,0.7143,0.6,0.8571,0.619,0.381,0.7059,12,13,8,2
25,0.7143,0.6,0.8571,0.619,0.381,0.7059,12,13,8,2
20,0.7143,0.6,0.8571,0.619,0.381,0.7059,12,13,8,2
15,0.7143,0.6,0.8571,0.619,0.381,0.7059,12,13,8,2
10,0.7143,0.6,0.8571,0.619,0.381,0.7059,12,13,8,2
5,0.7143,0.6,0.8571,0.619,0.381,0.7059,12,13,8,2
0,0.4,0.4,1,0,1,0.5714,14,0,21,0
